,movie_id,movie_title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,total_seasons,overall_rating
0,ts20945,The Three Stooges,SHOW,"The Three Stooges were an American vaudeville and comedy team active from 1922 until 1970, best known for their 190 short subject films by Columbia Pictures that have been regularly airing on television since 1958. Their hallmark was physical farce and slapstick. In films, the stooges were commonly known by their actual first names. There were a total of six stooges over the act's run (with only three active at any given time), but Moe Howard and Larry Fine were the mainstays throughout the ensemble's nearly fifty-year run.",1934,TV-PG,19,"['comedy', 'family', 'animation', 'action', 'fantasy', 'horror']",['US'],26.0,tt0850645,8.6,1092.0,15.424,7.6,26,8.1
956,ts20005,I Love Lucy,SHOW,"Cuban Bandleader Ricky Ricardo would be happy if his wife Lucy would just be a housewife. Instead she tries constantly to perform at the Tropicana where he works, and make life comically frantic in the apartment building they share with landlords Fred and Ethel Mertz, who also happen to be their best friends.",1951,TV-G,30,"['comedy', 'family']",['US'],9.0,tt0043208,8.5,25944.0,17.088,8.1,9,8.3
969,ts42867,Mister Rogers' Neighborhood,SHOW,"Mister Rogers' Neighborhood is an American children's television series that was created and hosted by namesake Fred Rogers. The series originated in 1963 as Misterogers on CBC Television, and was later debuted in 1966 as Misterogers' Neighborhood on the regional Eastern Educational Network, followed by its US network debut on February 19, 1968, and it aired on NET and its successor, PBS, until August 31, 2001. The series is aimed primarily at preschool ages 2 to 5, but has been stated by PBS as ""appropriate for all ages"". Mister Rogers' Neighborhood was produced by Pittsburgh, Pennsylvania, USA public broadcaster WQED and Rogers' non-profit production company Family Communications, Inc.; previously known as Small World Enterprises prior to 1971, the company was renamed The Fred Rogers Company after Rogers' death.",1968,TV-Y,29,"['fantasy', 'music', 'family']",['US'],31.0,tt0062588,8.7,8675.0,8.747,4.7,31,6.699999999999999
980,ts21930,Lupin the Third,SHOW,"Arsene Lupin III is the grandson of the master thief Arsene Lupin. With his cohorts Daisuke Jigen and Goemon Ishikawa XIII and his love interest Fujiko Mine, he pulls off the greatest heists of all time while always escaping the grasp of Inspector Koichi Zenigata.",1971,TV-14,23,"['scifi', 'animation', 'action', 'comedy', 'crime']",['JP'],6.0,tt0159175,7.9,2116.0,45.829,8.0,6,7.95
983,ts14548,Dark Shadows,SHOW,"Dark Shadows is an American gothic soap opera that originally aired weekdays on the ABC television network, from June 27, 1966, to April 2, 1971. The show was created by Dan Curtis. The story bible, which was written by Art Wallace, does not mention any supernatural elements. It was unprecedented in daytime television when ghosts were introduced about six months after it began.

The series became hugely popular when vampire Barnabas Collins appeared a year into its run. Dark Shadows also featured werewolves, zombies, man-made monsters, witches, warlocks, time travel, and a parallel universe. A small company of actors each played many roles; indeed, as actors came and went, some characters were played by more than one actor. Major writers besides Art Wallace included Malcolm Marmorstein, Sam Hall, Gordon Russell, and Violet Welles.

Dark Shadows was distinguished by its vividly melodramatic performances, atmospheric interiors, memorable storylines, numerous dramatic plot twists, unusually adventurous music score, and broad and epic cosmos of characters and heroic adventures. Now regarded as something of a classic, it continues to enjoy an intense cult following. Although the original series ran for only five years, its scheduling as a daily daytime drama allowed it to amass more single episodes during its run than most other science-fiction/fantasy genre series produced for English-language television, including Doctor Who and the entire Star Trek television franchise. Only the paranormal soap opera Passions, with a total of 2,231 episodes, has more.",1966,TV-PG,24,"['scifi', 'romance', 'thriller', 'drama', 'fantasy', 'horror']",['US'],12.0,tt0059978,8.1,4694.0,25.263,6.7,12,7.4
986,ts21689,NOVA,SHOW,"PBS' premier science series helps viewers of all ages explore the science behind the headlines. Along the way, NOVA demystifies science and technology, and highlights the people involved in scientific pursuits.",1974,TV-PG,57,['documentation'],['US'],49.0,tt0206501,8.7,2725.0,71.043,7.1,49,7.8999999999999995
1016,ts46032,Gardeners' World,SHOW,"Gardeners' World is a long-running BBC Television programme about gardening, first broadcast in 1968 and still running as of 2013. Its first episode was presented by Ken Burras and came from Oxford Botanical Gardens. The magazine BBC Gardeners' World is a tie-in to the programme. Most of its episodes have been 30 minutes in length, although there are many specials that last longer. The 2008 and 2009 series used a 60-minute format.",1968,TV-G,54,['documentation'],['GB'],22.0,tt0260618,8.3,243.0,10.063,8.5,22,8.4
1028,ts21584,Rowan & Martin's Laugh-In,SHOW,An American sketch comedy television program hosted by comedians Dan Rowan and Dick Martin.,1968,TV-PG,56,"['comedy', 'music']",['US'],6.0,tt0062601,8.0,3090.0,7.815,7.2,6,7.6
1029,ts28251,The Gumby Show,SHOW,"Innovative ""Claymation"" adventures of Gumby and his horse Pokey.",1955,TV-G,13,"['comedy', 'family', 'fantasy', 'animation']",['US'],2.0,tt0050022,7.0,1493.0,4.508,5.2,2,6.1
1033,ts13300,The Danny Thomas Show,SHOW,"Danny Thomas, an entertainer, tries to balance his home life with the needs of his career, with hilarious results.",1953,TV-G,30,"['comedy', 'family']",['US'],11.0,tt0045410,7.1,1073.0,7.891,6.3,11,6.699999999999999
1038,ts21412,Route 66,SHOW,"Route 66 is an American TV series in which two young men traveled across America in a Chevrolet Corvette sports car. The show ran weekly on Fridays on CBS from October 7, 1960 to March 20, 1964. It starred Martin Milner as Tod Stiles and, for the first two and a half seasons, George Maharis as Buz Murdock. Maharis was ill for much of the third season, during which time Tod was shown traveling on his own. Tod met Lincoln Case, played by Glenn Corbett, late in the third season, and traveled with him until the end of the fourth and final season. The series currently airs on Me-TV, My Family TV and RTV.

Among the series more notable aspects were the featured Corvette convertible, and the program's instrumental theme song, which became a major pop hit.",1960,TV-Y7,51,['drama'],['US'],4.0,tt2367863,7.8,1697.0,7.797,6.2,4,7.0
1052,ts6953,The Donna Reed Show,SHOW,"The Donna Reed Show is an American situation comedy starring Donna Reed as the upper-middle-class housewife Donna Stone. Carl Betz co-stars as her pediatrician husband Dr. Alex Stone, and Shelley Fabares and Paul Petersen as their teenage children, Mary and Jeff. The show originally aired on ABC from September 24, 1958 to March 19, 1966. When Fabares left the show in 1963, Petersen's little sister, Patty Petersen, joined the cast as adopted daughter Trisha. Patty Petersen had first appeared in the episode, ""A Way of Her Own"", on January 31, 1963.

Bob Crane and Ann McCrea appeared in the last seasons as the Kelseys, friends of the Stones, and Darryl Richard became a near regular as Smitty, Jeff's best buddy. The show featured a variety of celebrity guests including Esther Williams as a famous dress designer, baseball superstars Don Drysdale and Willie Mays as themselves, teen heartthrob James Darren as a pop singer with the measles, canine superstar Lassie as herself, and young Jay North of CBS's Dennis the Menace.

The series was created by William S. Roberts and developed by Reed and her then husband, producer Tony Owen. Episodes revolved around typical family problems of the period such as firing a clumsy housekeeper, throwing a retirement bash for a colleague, and finding quality time away from the children. Edgy themes such as women's rights and freedom of the press were occasionally explored.",1958,TV-PG,30,"['comedy', 'family']",['US'],8.0,tt0051267,7.4,1616.0,21.518,6.3,8,6.85
1114,ts22096,Here's Lucy,SHOW,Here's Lucy is Lucille Ball's third network television sitcom. It ran on CBS from 1968 to 1974.,1968,TV-G,30,['comedy'],['US'],6.0,tt0062570,6.8,1584.0,7.342,7.3,6,7.05
1136,ts238,The Duchess of Duke Street,SHOW,"Set in London between 1900 and 1925, the story follows Louisa Leyton/Trotter, the eponymous ""Duchess"", who works her way up from servant to renowned cook to proprietress of the upper-class Bentinck Hotel in Duke Street, St. James's.",1976,TV-PG,52,['drama'],['GB'],2.0,tt0335657,8.3,1375.0,3.741,8.2,2,8.25
1217,ts30387,To Tell the Truth,SHOW,"The show features a panel of four celebrities attempting to correctly identify a described contestant who has an unusual occupation or experience. This central character is accompanied by two impostors who pretend to be the central character. The celebrity panelists question the three contestants; the impostors are allowed to lie but the central character is sworn ""to tell the truth"". After questioning, the panel attempts to identify which of the three challengers is telling the truth and is thus the central character.",1956,TV-G,29,"['reality', 'family']",['US'],7.0,tt0048907,7.7,482.0,2.983,7.8,7,7.75
1319,ts14710,Card Sharks,SHOW,"Card Sharks is an American television game show created by Chester Feldman for Mark Goodson-Bill Todman Productions. Two contestants compete for control of a row of oversized playing cards by answering questions posed by the host and then guessing if the next card is higher or lower in value than the previous one. The concept has been made into a series four separate times since its debut in 1978, and also appeared as part of CBS's Gameshow Marathon. The primary announcer for the first three series was Gene Wood.",1978,TV-G,24,['family'],['US'],6.0,tt0127991,6.8,445.0,0.811,7.0,6,6.9
1396,ts47033,The New 3 Stooges,SHOW,"Larry, Moe and Curly Joe bring their mastery of mirth, merriment and mayhem to plenty of places from the Old West to Outer Space and everywhere in between. The hijinks never stop as The Boys bumble and fumble their way from one zany adventure to the next in this animated slapstick series.",1965,TV-PG,19,"['comedy', 'animation', 'family']",['US'],1.0,tt0058832,7.0,334.0,3.11,10.0,1,8.5
1516,ts41173,Tattletales,SHOW,"Tattletales is an American game show which first aired on the CBS daytime schedule on February 18, 1974. It was hosted by Bert Convy, with several announcers, including Jack Clark, Gene Wood, Johnny Olson and John Harlan, providing the voiceover at various times.

The show's premise involved questions asked about celebrity couples' personal lives and was based on He Said, She Said, a syndicated Goodson-Todman show that aired during the 1969—1970 season.",1974,TV-PG,30,"['comedy', 'reality']",['US'],4.0,tt0071063,7.6,48.0,0.98,6.0,4,6.8
1813,ts41693,The Kids in the Hall,SHOW,"The Kids in the Hall is a Canadian sketch comedy group formed in 1984, consisting of comedians Dave Foley, Kevin McDonald, Bruce McCulloch, Mark McKinney, and Scott Thompson.",1989,TV-MA,24,['comedy'],['CA'],6.0,tt0096626,8.4,9794.0,14.945,7.7,6,8.05
1825,ts21396,Mr. Bean,SHOW,Mr Bean turns simple everyday tasks into chaotic situations and will leave you in stitches as he creates havoc wherever he goes.,1990,TV-PG,21,"['comedy', 'family', 'european']",['GB'],3.0,tt0096657,8.6,114774.0,31.763,7.9,3,8.25
1833,ts24918,He-Man and the Masters of the Universe,SHOW,"When Adam, Prince of the planet Eternia, raises his magic sword he transforms into He-Man (the most powerful man in the universe).  With his allies and friends, he battles the evil Skeletor and his minions to protect the secrets of Castle Greyskull.",1983,TV-Y7,23,"['action', 'scifi', 'family', 'fantasy', 'animation']",['US'],3.0,tt0126158,7.5,18355.0,25.159,7.3,3,7.4
1836,ts39067,Reading Rainbow,SHOW,"Journey to exciting places and build a lasting connection with your favorite books. Each episode centers on a theme from a book, or other children's literature, which is explored through a number of segments or stories.",1983,TV-Y,28,['family'],['US'],16.0,tt0085075,8.4,4618.0,2.832,8.8,16,8.600000000000001
1838,ts21715,Thomas & Friends,SHOW,"Thomas & Friends is a British children's television series, which had its first broadcast on the ITV network on 4 September 1984. It is based on The Railway Series of books by the Reverend Wilbert Awdry and his son, Christopher Awdry. These books deal with the adventures of a group of anthropomorphised locomotives and road vehicles who live on the fictional Island of Sodor. The books were based on stories Wilbert told to entertain his son, Christopher during his recovery from measles. From Series one to four, many of the stories are based on events from Awdry's personal experience.",1984,TV-Y,10,"['family', 'comedy', 'music', 'action', 'animation', 'fantasy', 'drama']",['GB'],24.0,tt0086815,6.5,4948.0,49.384,6.6,24,6.55
1840,ts242,Baywatch,SHOW,Join the Baywatch lifeguards on their thrilling adventures filled with beautiful beaches and those iconic red swimsuits.,1989,TV-PG,46,"['action', 'drama', 'crime', 'romance']",['US'],11.0,tt0096542,5.3,27179.0,59.02,5.7,11,5.5
